City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,80.6,69,90,4.7,US,1604199757
Qaanaaq,77.48,-69.36,5.14,81,0,4.81,GL,1604199738
Sechura,-5.56,-80.82,64.65,81,55,10.83,PE,1604199757
Rikitea,-23.12,-134.97,76.06,68,0,8.55,PF,1604199757
Punta Arenas,-53.15,-70.92,48.2,81,0,6.93,CL,1604199758
Bluff,-46.6,168.33,53.01,84,99,15.99,NZ,1604199758
Birao,10.28,22.79,73.67,59,0,1.54,CF,1604199758
Krasnyye Tkachi,57.49,39.76,35.6,91,90,6.71,RU,1604199758
Puerto Escondido,15.85,-97.07,79.18,75,4,4.72,MX,1604199758
Richards Bay,-28.78,32.04,64.02,87,100,3.47,ZA,1604199496
Hilo,19.73,-155.09,82.4,65,90,5.82,US,1604199758
Philadelphia,39.95,-75.16,42.01,80,20,4.7,US,1604199721
Dakar,14.69,-17.44,73.4,94,90,10.29,SN,1604199759
Cidreira,-30.18,-50.21,61.9,74,0,6.29,BR,1604199748
Busselton,-33.65,115.33,60.01,89,100,1.01,AU,1604199759
Bocsig,46.42,21.95,33.8,100,0,1.36,RO,1604199759
Manggar,-2.88,108.27,85.46,67,57,3.58,ID,1604199759
Hobart,-42.88,147.33,68.0,62,75,9.17,AU,1604199622
Butaritari,3.07,172.79,81.7,76,100,12.84,KI,1604199760
Saldanha,-33.01,17.94,53.6,58,0,6.93,ZA,1604199760
Vaini,-21.2,-175.2,78.8,74,75,11.41,TO,1604199760
Eureka,40.8,-124.16,48.0,100,90,3.0,US,1604199747
Khatanga,71.97,102.5,-2.96,88,73,9.89,RU,1604199760
Chokurdakh,70.63,147.92,-7.58,92,83,8.19,RU,1604199761
Atuona,-9.8,-139.03,78.55,74,6,18.41,PF,1604199736
Clyde River,70.47,-68.59,8.6,84,1,17.22,CA,1604199761
Katobu,-4.94,122.53,93.38,43,55,3.27,ID,1604199761
Geraldton,-28.77,114.6,59.0,100,75,17.22,AU,1604199761
Bengkulu,-3.8,102.27,83.97,64,94,3.04,ID,1604199472
Honningsvåg,70.98,25.97,39.27,79,5,23.33,NO,1604199761
Carnarvon,-24.87,113.63,77.0,53,84,18.34,AU,1604199761
Catalina Foothills,32.3,-110.92,77.0,16,1,10.29,US,1604199762
Cabo San Lucas,22.89,-109.91,78.8,74,20,2.8,MX,1604199597
Kalmunai,7.42,81.82,82.99,71,52,6.89,LK,1604199514
Hay River,60.82,-115.8,26.6,86,100,3.36,CA,1604199606
Yellowknife,62.46,-114.35,23.0,92,90,9.17,CA,1604199642
Tiksi,71.69,128.87,-2.74,91,68,7.56,RU,1604199762
Turukhansk,65.82,87.98,19.94,97,100,20.49,RU,1604199762
Porto Velho,-8.76,-63.9,73.4,94,90,3.36,BR,1604199522
Netrakona,24.88,90.72,78.62,84,79,5.44,BD,1604199763
Dikson,73.51,80.55,20.73,98,99,7.43,RU,1604199763
Bredasdorp,-34.53,20.04,48.2,93,16,1.12,ZA,1604199475
Mataura,-46.19,168.86,53.01,84,98,15.99,NZ,1604199763
Isangel,-19.55,169.27,80.24,71,97,14.25,VU,1604199763
Nānākuli,21.39,-158.15,84.2,51,90,6.93,US,1604199763
Albany,42.6,-73.97,34.0,84,0,4.72,US,1604199630
Saskylakh,71.92,114.08,-6.34,86,32,8.61,RU,1604199483
Hwange,-18.37,26.5,69.6,34,0,4.65,ZW,1604199764
Port Alfred,-33.59,26.89,61.88,81,67,11.32,ZA,1604199764
Tegul'det,57.31,88.17,33.21,95,100,10.63,RU,1604199764
Maridi,4.92,29.47,68.56,94,99,0.63,SS,1604199764
Hermanus,-34.42,19.23,55.0,84,3,4.0,ZA,1604199764
Berlevåg,70.86,29.09,37.94,78,9,16.75,NO,1604199485
Margate,51.38,1.39,54.0,71,100,1.99,GB,1604199765
Belyy Yar,53.6,91.39,30.2,86,0,2.24,RU,1604199765
Longyearbyen,78.22,15.64,19.4,79,20,11.41,SJ,1604199765
Elizabeth City,36.29,-76.25,55.4,76,1,8.05,US,1604199699
Pisco,-13.7,-76.22,62.6,88,0,6.93,PE,1604199490
Ushuaia,-54.8,-68.3,46.4,93,75,4.7,AR,1604199737
Tuktoyaktuk,69.45,-133.04,-4.0,76,40,4.7,CA,1604199765
São Filipe,14.9,-24.5,79.38,68,75,7.38,CV,1604199745
Upernavik,72.79,-56.15,16.18,95,100,11.63,GL,1604199766
Tunceli,39.11,39.55,64.4,20,75,8.05,TR,1604199721
Coyhaique,-45.58,-72.07,53.6,66,0,2.24,CL,1604199766
Umluj,25.02,37.27,77.59,60,0,4.81,SA,1604199684
Forsytheganj,52.63,29.73,45.18,84,100,12.41,BY,1604199766
Leningradskiy,69.38,178.42,15.15,88,33,6.78,RU,1604199766
Quillota,-32.88,-71.27,64.99,99,24,0.81,CL,1604199766
Inverell,-29.78,151.12,73.0,42,36,8.99,AU,1604199767
Avarua,-21.21,-159.78,75.2,83,100,10.29,CK,1604199767
Korla,41.76,86.15,48.99,71,0,3.0,CN,1604199767
Porbandar,21.64,69.61,81.9,36,0,10.63,IN,1604199767
Jamestown,42.1,-79.24,39.0,74,1,6.93,US,1604199662
Kaitangata,-46.28,169.85,60.01,62,94,15.01,NZ,1604199767
Tasiilaq,65.61,-37.64,32.0,95,100,3.36,GL,1604199753
Ribeira Grande,38.52,-28.7,69.04,93,65,22.68,PT,1604199768
Thinadhoo,0.53,72.93,83.37,71,98,6.17,MV,1604199759
Banda Aceh,5.56,95.32,85.39,64,89,7.4,ID,1604199738
Chapais,49.78,-74.85,26.6,63,75,12.75,CA,1604199768
Fort Nelson,58.81,-122.7,21.2,100,40,4.7,CA,1604199605
East Wenatchee Bench,47.43,-120.28,48.0,52,1,6.93,US,1604199768
Yining,29.04,114.56,61.09,91,100,2.21,CN,1604199768
Yantal',56.85,105.25,17.98,88,93,4.03,RU,1604199768
Mackay,-21.15,149.2,90.0,55,0,14.99,AU,1604199768
Port Hedland,-20.32,118.57,89.6,49,0,11.41,AU,1604199514
Mehrān,33.12,46.16,65.93,24,32,5.26,IR,1604199769
Lorengau,-2.02,147.27,85.39,72,14,8.37,PG,1604199502
Waitara,-38.92,174.25,57.99,80,100,11.99,NZ,1604199769
Rio Brilhante,-21.8,-54.55,66.63,81,0,6.02,BR,1604199769
Sémbé,1.65,14.58,69.85,95,100,0.94,CG,1604199769
Arraial do Cabo,-22.97,-42.03,70.77,80,33,14.2,BR,1604199647
Mushie,-3.02,16.9,71.15,96,100,2.48,CD,1604199770
Torrington,41.8,-73.12,30.99,91,28,2.64,US,1604199770
Padang,-0.95,100.35,78.19,81,100,0.96,ID,1604199751
Pasco,28.29,-82.42,75.0,85,23,7.78,US,1604199770
Lamu,-2.27,40.9,77.0,88,75,3.36,KE,1604199770
Provideniya,64.38,-173.3,22.53,87,0,5.14,RU,1604199770
Touros,-5.2,-35.46,75.2,94,20,3.36,BR,1604199771
Half Moon Bay,37.46,-122.43,64.4,100,75,9.17,US,1604199771
Dingtao,35.07,115.56,67.73,41,67,10.76,CN,1604199771
Tuatapere,-46.13,167.68,53.01,84,92,15.99,NZ,1604199771
São Félix do Xingu,-6.64,-51.99,72.79,95,100,1.12,BR,1604199626
Faya,18.39,42.45,59.0,35,0,1.77,SA,1604199771
Geneva,41.89,-88.31,54.0,58,90,17.22,US,1604199521
Cayenne,4.93,-52.33,77.0,100,75,3.36,GF,1604199737
George Town,5.41,100.34,84.2,78,20,3.36,MY,1604199772
Puerto Madryn,-42.77,-65.04,68.22,33,0,21.34,AR,1604199716
Nome,64.5,-165.41,26.6,68,1,9.17,US,1604199772
Avera,33.19,-82.53,59.0,82,90,6.93,US,1604199502
Hithadhoo,-0.6,73.08,83.88,71,100,9.91,MV,1604199772
Cape Town,-33.93,18.42,59.0,54,0,13.87,ZA,1604199620
Qaqortoq,60.72,-46.03,24.8,85,57,3.36,GL,1604199773
Bereda,43.27,-7.54,63.0,86,100,10.0,ES,1604199740
Sompeta,18.93,84.6,82.42,63,35,3.24,IN,1604199773
New Norfolk,-42.78,147.06,68.0,56,93,1.99,AU,1604199773
Kamenka,51.32,42.77,48.49,66,100,12.66,RU,1604199773
Esmeraldas,-19.76,-44.31,68.0,93,75,6.93,BR,1604199773
College,64.86,-147.8,10.0,84,90,1.3,US,1604199772
Kovūr,14.48,79.98,82.38,58,0,6.33,IN,1604199774
Chui,-33.7,-53.46,51.42,87,0,1.39,UY,1604199774
Jalu,29.03,21.55,62.37,70,10,7.38,LY,1604199774
Kruisfontein,-34.0,24.73,55.99,93,0,3.06,ZA,1604199660
Wasilla,61.58,-149.44,19.4,72,1,3.53,US,1604199528
San Jerónimo,-11.95,-75.28,49.26,73,97,4.34,PE,1604199774
Anyang,36.1,114.33,64.94,24,98,4.5,CN,1604199775
Kodinsk,58.69,99.18,11.23,91,0,3.94,RU,1604199775
Dicabisagan,17.08,122.42,79.7,85,100,14.38,PH,1604199775
Cherskiy,68.75,161.3,10.8,88,100,2.75,RU,1604199775
Bousso,10.48,16.71,79.75,29,28,6.04,TD,1604199775
Dinar,38.06,30.17,41.0,86,0,5.82,TR,1604199775
Wamba,8.93,8.6,72.45,50,100,2.37,NG,1604199775
Stephenville Crossing,48.5,-58.43,34.0,59,75,16.11,CA,1604199691
Iquique,-20.22,-70.14,62.6,72,90,8.05,CL,1604199725
São João da Barra,-21.64,-41.05,70.43,87,100,13.87,BR,1604199776
Montague,42.54,-72.54,28.99,95,2,2.91,US,1604199604
Riyadh,24.69,46.72,60.8,51,0,4.45,SA,1604199739
Norman Wells,65.28,-126.83,-9.4,83,20,4.7,CA,1604199776
Dzaoudzi,-12.79,45.27,73.4,88,20,4.7,YT,1604199776
Kaeo,-35.1,173.78,80.01,53,4,10.0,NZ,1604199777
Flinders,-34.58,150.86,63.0,89,100,8.99,AU,1604199758
Kashgar,39.45,75.98,42.8,26,0,11.18,CN,1604199777
Klaksvík,62.23,-6.59,44.6,87,93,27.51,FO,1604199777
Kavaratti,10.57,72.64,81.9,69,55,4.18,IN,1604199777
Humaitá,-7.51,-63.02,73.09,98,100,4.74,BR,1604199777
Muros,42.78,-9.06,64.0,92,100,17.0,ES,1604199778
Mount Gambier,-37.83,140.77,64.4,63,0,9.17,AU,1604199736
Sōja,34.67,133.75,66.0,72,75,4.7,JP,1604199778
Kununurra,-15.77,128.73,98.6,32,63,8.05,AU,1604199778
Port Elizabeth,-33.92,25.57,62.6,82,40,6.93,ZA,1604199739
Mar del Plata,-38.0,-57.56,60.01,87,0,4.7,AR,1604199600
Nanortalik,60.14,-45.24,29.08,90,53,22.48,GL,1604199778
Mahébourg,-20.41,57.7,68.0,72,40,9.17,MU,1604199778
East London,-33.02,27.91,64.35,77,100,11.74,ZA,1604199779
Mago,53.25,140.18,42.3,79,100,7.11,RU,1604199779
Severo-Kuril'sk,50.68,156.12,43.57,75,41,16.67,RU,1604199779
Hambantota,6.12,81.12,82.78,71,81,4.61,LK,1604199779
‘Āhuimanu,21.44,-157.84,84.2,58,40,10.29,US,1604199779
Lavrentiya,65.58,-171.0,22.41,90,0,8.08,RU,1604199780
Wainwright,52.84,-110.86,35.6,64,99,6.93,CA,1604199780
Yichang,30.71,111.28,62.01,75,100,1.86,CN,1604199780
Tadine,-21.55,167.88,78.91,66,1,13.94,NC,1604199780
Quatre Cocos,-20.21,57.76,71.01,72,40,9.17,MU,1604199780
Samaná,19.21,-69.34,78.57,84,87,10.71,DO,1604199612
Beringovskiy,63.05,179.32,21.54,95,96,12.12,RU,1604199754
Thompson,55.74,-97.86,10.4,85,5,5.82,CA,1604199781
Alofi,-19.06,-169.92,78.8,83,49,20.8,NU,1604199756
Nizwá,22.93,57.53,67.19,23,0,2.93,OM,1604199781
Nikolskoye,59.7,30.79,32.0,100,90,4.47,RU,1604199747
Nelson Bay,-32.72,152.15,71.6,60,75,20.8,AU,1604199781
Saint Paul Harbor,57.79,-152.41,35.6,37,1,11.41,US,1604199781
Dickinson,29.46,-95.05,63.0,82,1,5.23,US,1604199782
Ust'-Omchug,61.15,149.63,24.73,95,100,2.08,RU,1604199703
Sakakah,29.97,40.21,64.4,17,0,4.7,SA,1604199782
Dunda,-8.12,34.25,62.98,77,53,2.04,TZ,1604199782
Guspini,39.54,8.63,55.4,87,40,3.36,IT,1604199782
Katangli,51.71,143.23,43.65,73,93,15.1,RU,1604199782
Billings Metropolitan Area,45.78,-108.5,42.8,52,1,5.82,US,1604199782
Chunhuhub,19.55,-88.68,73.09,99,100,3.4,MX,1604199782
Alice Springs,-23.7,133.88,87.8,13,0,9.17,AU,1604199783
Darnah,32.77,22.64,69.06,62,7,10.47,LY,1604199783
Nishihara,26.18,127.76,82.4,39,20,14.99,JP,1604199783
Rudnaya Pristan',44.36,135.81,54.82,71,55,6.13,RU,1604199783
Coquimbo,-29.95,-71.34,53.6,87,13,1.12,CL,1604199510
Laguna,38.42,-121.42,64.4,48,1,3.36,US,1604199488
Kindu,-2.95,25.95,67.51,93,66,0.96,CD,1604199783
Castro,-24.79,-50.01,52.02,94,50,8.08,BR,1604199784
Lithakia,37.72,20.83,53.6,81,0,6.11,GR,1604199784
Airai,-8.93,125.41,79.3,37,0,2.77,TL,1604199747
Lensk,60.73,114.93,4.51,87,36,1.68,RU,1604199784
Wagar,16.15,36.2,79.74,55,51,6.89,SD,1604199784
Río Gallegos,-51.62,-69.22,48.2,81,0,2.24,AR,1604199687
Makanya,-4.37,37.83,68.09,86,79,2.42,TZ,1604199785
Valpaços,41.61,-7.31,55.99,99,100,0.36,PT,1604199785
Avanigadda,16.02,80.92,80.6,69,20,4.74,IN,1604199785
Pak Phanang,8.35,100.2,87.8,74,40,2.24,TH,1604199785
Takoradze,4.88,-1.76,77.72,88,74,4.45,GH,1604199785
Constitución,-35.33,-72.42,53.85,84,1,3.0,CL,1604199786
Bambous Virieux,-20.34,57.76,71.01,72,40,9.17,MU,1604199786
Hūn,29.13,15.95,57.11,87,0,6.02,LY,1604199786
Ugoofaaru,5.67,73.0,82.29,68,3,2.73,MV,1604199512
Saint-Philippe,-21.36,55.77,66.99,77,90,8.05,RE,1604199786
San Ramon,37.78,-121.98,66.2,34,1,6.93,US,1604199772
Mountain Home,43.13,-115.69,46.4,36,1,1.1,US,1604199787
Acapulco de Juárez,16.86,-99.89,82.4,83,40,3.36,MX,1604199720
Mglin,53.06,32.85,43.77,85,100,14.97,RU,1604199787
Lebu,-37.62,-73.65,51.04,90,34,5.59,CL,1604199743
Kahului,20.89,-156.47,86.0,58,40,12.75,US,1604199602
Murray Bridge,-35.12,139.27,71.01,57,0,4.41,AU,1604199787
Plymouth,41.83,-70.83,35.01,92,75,2.8,US,1604199787
Lakes Entrance,-37.88,147.98,71.01,71,22,5.01,AU,1604199788
Kibakwe,-6.72,36.37,61.43,91,82,3.96,TZ,1604199788
Sagua la Grande,22.81,-80.08,77.0,94,75,4.7,CU,1604199788
Trat,12.5,102.5,91.0,83,40,5.82,TH,1604199788
Balabac,7.99,117.06,83.91,72,100,7.27,PH,1604199788
Honiara,-9.43,159.95,89.6,66,20,9.17,SB,1604199789
Cururupu,-1.83,-44.87,74.07,94,57,2.73,BR,1604199789
Salalah,17.02,54.09,69.8,37,0,2.24,OM,1604199508
Talnakh,69.49,88.4,21.2,85,75,29.08,RU,1604199658
Krasnosel'kup,65.7,82.47,30.0,98,100,19.24,RU,1604199789
Paysandu,-32.32,-58.08,53.98,91,0,6.96,UY,1604199619
Hamilton,39.18,-84.53,51.01,61,90,8.05,US,1604199738
Tottori-shi,35.5,134.23,66.2,55,75,11.41,JP,1604199790
Puerto Ayora,-0.74,-90.35,70.0,91,85,7.0,EC,1604199525
Aykhal,66.0,111.5,-0.4,84,0,4.47,RU,1604199790
Codrington,-38.27,141.97,61.47,73,51,9.78,AU,1604199790
Lutkun,41.48,47.69,58.21,37,17,7.38,RU,1604199791
Kozhva,65.11,57.05,32.5,96,99,9.51,RU,1604199791
Kirakira,-10.45,161.92,86.85,64,44,6.96,SB,1604199791
Linxia Chengguanzhen,35.6,103.21,43.48,59,97,1.45,CN,1604199791
Newport,51.59,-3.0,53.01,90,100,5.01,GB,1604199712
San Quintín,30.48,-115.95,65.37,70,45,3.13,MX,1604199792
Ilulissat,69.22,-51.1,19.4,79,100,13.87,GL,1604199792
Kisi,9.08,3.85,71.91,81,81,1.57,NG,1604199792
Narsaq,60.92,-46.05,24.8,85,83,3.36,GL,1604199758
Rabat,33.99,-6.84,60.01,93,75,2.3,MA,1604199505
Cairns,-16.92,145.77,91.0,55,0,12.75,AU,1604199628
Faanui,-16.48,-151.75,79.45,76,0,18.19,PF,1604199748
Bodden Town,19.28,-81.25,84.2,83,40,12.75,KY,1604199793
Atzitzintla,18.9,-97.32,49.21,96,98,4.27,MX,1604199793
Barrow,71.29,-156.79,24.8,58,90,16.11,US,1604199793
Kautokeino,69.01,23.04,28.6,98,99,14.94,NO,1604199794
Nhulunbuy,-12.23,136.77,91.4,55,75,13.87,AU,1604199794
Esterhazy,50.65,-102.08,23.0,73,1,12.75,CA,1604199794
Hasaki,35.73,140.83,66.0,59,75,6.93,JP,1604199794
Kiryat Gat,31.61,34.76,72.0,100,97,1.79,IL,1604199769
Hauterive,46.09,3.45,57.0,62,0,18.34,FR,1604199795
Piteå,65.32,21.48,35.6,100,100,1.12,SE,1604199795
Dingzhou,38.51,115.0,60.8,23,0,6.71,CN,1604199591
Sochi,43.6,39.73,57.2,87,90,11.18,RU,1604199795
Araouane,18.9,-3.53,80.67,16,100,8.5,ML,1604199795
Ponta do Sol,32.67,-17.1,72.0,59,20,12.75,PT,1604199796
Saint-Pierre,-21.34,55.48,66.99,77,90,8.05,RE,1604199796
Havre-St-Pierre,50.23,-63.6,24.8,68,1,5.82,CA,1604199796
Mayo,38.89,-76.51,50.0,81,90,14.99,US,1604199755
Todos Santos,23.45,-110.22,77.0,75,0,1.28,MX,1604199796
Saint George,37.1,-113.58,66.2,17,1,3.42,US,1604199663
Ubari,26.59,12.78,56.7,60,0,6.78,LY,1604199796
Shimanovsk,52.0,127.7,32.4,97,100,11.95,RU,1604199797
Grand Gaube,-20.01,57.66,71.01,65,24,1.99,MU,1604199797
Kavieng,-2.57,150.8,85.35,70,14,8.79,PG,1604199797
Vaitape,-16.52,-151.75,80.28,75,0,18.14,PF,1604199797
Fergus Falls,46.28,-96.08,32.0,68,90,24.16,US,1604199616
Comodoro Rivadavia,-45.87,-67.5,53.6,81,0,0.63,AR,1604199749
Nouadhibou,20.93,-17.03,68.0,72,0,11.41,MR,1604199798
Atar,20.52,-13.05,81.14,17,100,9.71,MR,1604199729
Kayerkan,69.35,87.76,21.2,85,75,29.08,RU,1604199798
Nakamura,32.98,132.93,68.41,71,50,8.3,JP,1604199798
Tarakan,3.3,117.63,81.01,75,100,4.5,ID,1604199798
Batagay,67.63,134.63,-10.66,87,85,3.87,RU,1604199799
Marshall,34.38,-86.33,57.99,76,40,3.36,US,1604199505
Huilong,31.81,121.66,71.01,74,99,5.99,CN,1604199799
Sisimiut,66.94,-53.67,20.64,96,100,10.09,GL,1604199799
Fairbanks,64.84,-147.72,10.0,84,90,3.36,US,1604199584
Waipawa,-41.41,175.52,64.4,59,0,23.04,NZ,1604199800
Englewood,39.65,-104.99,45.0,56,0,5.75,US,1604199800
Daru,-9.08,143.21,84.85,71,39,12.95,PG,1604199800
Boyolangu,-8.12,111.89,85.91,64,18,6.02,ID,1604199800
Edd,13.93,41.69,82.45,52,0,10.6,ER,1604199800
Kieta,-6.22,155.63,85.23,66,59,4.41,PG,1604199800
La Palma,33.85,-118.05,72.0,60,75,2.21,US,1604199801
Torbay,47.67,-52.73,32.0,58,20,24.16,CA,1604199741
Cockburn Town,21.46,-71.14,82.63,78,72,20.85,TC,1604199573
La Paz,-16.5,-68.15,42.8,75,40,6.93,BO,1604199603
Souillac,-20.52,57.52,68.0,72,40,9.17,MU,1604199741
Vila Velha,-20.33,-40.29,69.8,94,90,8.05,BR,1604199761
