City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ostrovnoy,68.05,39.51,27.72,95,68,20.92,RU,1604199801
Naze,28.37,129.48,77.0,73,75,10.29,JP,1604199802
Apt,43.88,5.4,57.2,87,90,3.36,FR,1604199802
Rocha,-34.48,-54.33,47.41,92,0,3.02,UY,1604199802
Gisors,49.28,1.78,53.6,87,100,6.93,FR,1604199802
Aysha,55.87,48.63,39.2,86,90,11.18,RU,1604199802
Aquiraz,-3.9,-38.39,80.6,83,40,9.17,BR,1604199802
Umm Kaddadah,13.6,26.69,80.06,26,51,17.72,SD,1604199802
Aktash,50.3,87.73,19.83,84,40,3.53,RU,1604199803
Black River,18.03,-77.85,82.4,83,20,8.05,JM,1604199547
Imeni Poliny Osipenko,52.42,136.49,34.3,98,100,4.23,RU,1604199803
Svetlaya,46.54,138.33,52.07,66,85,12.3,RU,1604199803
Hingoli,19.72,77.15,75.34,54,0,4.7,IN,1604199803
Lerwick,60.15,-1.15,50.0,76,78,29.97,GB,1604199804
Tumsar,21.38,79.73,71.47,53,0,7.56,IN,1604199804
Esperance,-33.87,121.9,78.8,50,89,8.05,AU,1604199804
Frome,51.23,-2.32,52.0,87,100,8.01,GB,1604199804
Bandarbeyla,9.49,50.81,76.51,83,3,16.71,SO,1604199804
Sambava,-14.27,50.17,68.14,75,0,7.99,MG,1604199805
Pevek,69.7,170.31,16.07,93,82,12.84,RU,1604199746
Alugan,12.22,125.48,85.98,71,100,9.84,PH,1604199805
Belmonte,-15.86,-38.88,77.0,83,0,6.93,BR,1604199805
Becerril,9.7,-73.28,74.52,81,83,2.77,CO,1604199805
Gijang,35.24,129.21,57.2,71,0,3.36,KR,1604199805
Bétaré Oya,5.6,14.08,66.11,93,92,0.98,CM,1604199805
Havøysund,71.0,24.66,35.6,69,0,8.05,NO,1604199755
Lompoc,34.64,-120.46,60.8,87,1,4.68,US,1604199658
Rudnichnyy,59.62,52.47,28.11,97,72,4.9,RU,1604199806
Megion,61.03,76.11,33.8,86,90,11.18,RU,1604199806
Broome,42.25,-75.83,34.0,92,1,8.05,US,1604199806
Shelby,35.2,-89.87,54.0,81,100,4.74,US,1604199806
Alta Floresta,-9.88,-56.09,73.6,87,63,3.27,BR,1604199594
Ospina,1.06,-77.57,51.49,99,100,2.48,CO,1604199807
Bethel,41.37,-73.41,36.0,86,90,1.63,US,1604199740
Muhafazat Lahij,13.17,44.58,70.97,70,0,4.43,YE,1604199807
San Patricio,28.02,-97.52,66.0,68,1,5.82,US,1604199807
Viedma,-40.81,-63.0,61.0,51,0,1.99,AR,1604199551
Bonoua,5.27,-3.6,80.6,88,40,5.82,CI,1604199807
Along,28.17,94.77,68.07,83,100,0.67,IN,1604199807
Taoudenni,22.68,-3.98,73.44,22,53,14.16,ML,1604199808
Dingle,11.0,122.67,81.84,83,100,11.34,PH,1604199808
Aklavik,68.22,-135.01,-2.2,91,75,2.24,CA,1604199808
Launceston,-41.45,147.17,72.0,55,75,3.36,AU,1604199808
Yar-Sale,66.83,70.83,26.46,97,27,11.86,RU,1604199765
Gao,16.64,1.64,76.21,19,1,12.57,ML,1604199808
Tibati,6.47,12.63,67.64,74,15,1.72,CM,1604199809
Sitka,57.05,-135.33,48.2,93,90,8.05,US,1604199809
Vanimo,-2.67,141.3,84.0,77,100,6.73,PG,1604199809
Pitimbu,-7.47,-34.81,78.8,83,20,5.82,BR,1604199699
Diok’nisi,41.63,42.39,62.6,100,75,4.7,GE,1604199809
Yazman,29.12,71.74,76.64,17,0,3.38,PK,1604199809
Fortuna,40.6,-124.16,48.99,92,0,3.18,US,1604199809
Ruteng,-8.61,120.47,75.45,68,48,1.28,ID,1604199810
Suleja,9.18,7.18,75.2,83,0,4.7,NG,1604199810
Bose,45.46,8.01,50.0,91,60,1.01,IT,1604199810
Barsovo,61.17,73.17,32.0,98,75,6.71,RU,1604199810
Fayetteville,35.05,-78.88,54.0,81,75,5.82,US,1604199795
Corinth,37.94,22.96,57.0,76,0,5.37,GR,1604199810
Moindou,-21.69,165.68,93.2,38,0,11.41,NC,1604199811
Patiya,22.29,91.98,80.6,94,90,4.7,BD,1604199811
Pangnirtung,66.15,-65.71,15.8,66,75,2.24,CA,1604199811
Kontagora,10.4,5.47,73.18,36,59,2.57,NG,1604199811
Civitanova Marche,43.31,13.72,55.0,86,100,4.36,IT,1604199811
Palauig,15.44,119.9,81.3,77,100,11.32,PH,1604199812
Itarema,-2.92,-39.92,78.64,85,51,11.56,BR,1604199756
Potiskum,11.71,11.07,75.09,25,10,9.66,NG,1604199812
Saint Anthony,45.02,-93.22,41.0,52,90,21.92,US,1604199761
Tokur,53.13,132.9,30.63,95,100,3.36,RU,1604199812
Lys'va,58.11,57.81,31.64,94,100,10.04,RU,1604199812
Zhicheng,30.3,111.5,62.01,74,100,1.01,CN,1604199812
Fort Morgan,40.25,-103.8,37.4,59,1,6.93,US,1604199813
Coahuayana Viejo,18.73,-103.68,77.49,84,48,1.1,MX,1604199813
Port Hardy,50.7,-127.42,50.0,81,90,4.7,CA,1604199605
Hsinchu,24.8,120.97,84.0,49,0,5.01,TW,1604199513
Husavik,66.04,-17.34,37.4,86,90,3.36,IS,1604199813
Sokoni,-6.43,39.55,77.79,81,92,8.59,TZ,1604199813
Bismarck,46.81,-100.78,33.8,59,1,12.75,US,1604199707
Conceição do Araguaia,-8.26,-49.26,76.35,90,78,2.37,BR,1604199635
Talaya,61.38,152.75,23.92,93,100,5.88,RU,1604199814
Água Branca,-5.89,-42.64,77.7,65,86,3.78,BR,1604199606
Rondonópolis,-16.47,-54.64,76.19,79,100,4.36,BR,1604199698
Taicheng,38.73,113.23,46.98,45,8,8.86,CN,1604199814
Marsh Harbour,26.54,-77.06,79.77,83,20,18.79,BS,1604199814
Opuwo,-18.06,13.84,66.15,63,63,2.28,NA,1604199814
Lang Son,21.83,106.73,80.78,64,52,2.17,VN,1604199815
Fuling,29.7,107.39,59.2,90,100,2.82,CN,1604199815
Tabou,4.42,-7.35,77.31,89,40,6.35,CI,1604199815
Gigmoto,13.78,124.39,80.29,81,100,16.75,PH,1604199725
Aripuanã,-9.17,-60.63,73.11,97,100,1.59,BR,1604199815
Sorada,19.75,84.43,80.26,64,84,2.28,IN,1604199816
Tarbagatay,51.48,107.36,24.8,49,20,13.42,RU,1604199816
Amambai,-23.1,-55.23,64.89,85,1,3.38,BR,1604199816
Mozarlândia,-14.74,-50.57,71.1,93,84,1.32,BR,1604199816
Westport,41.14,-73.36,42.8,60,75,3.36,US,1604199664
Tawang Town,27.58,91.87,61.57,38,99,3.74,IN,1604199816
Brae,60.4,-1.35,50.0,76,92,29.97,GB,1604199816
Saint-François,46.42,3.91,53.01,87,0,5.82,FR,1604199750
Indian Head,38.6,-77.16,48.2,81,75,6.42,US,1604199817
Mehamn,71.04,27.85,37.13,80,0,14.56,NO,1604199817
Vardø,70.37,31.11,38.55,83,69,17.31,NO,1604199739
Hervey Bay,-25.3,152.85,89.6,25,0,8.05,AU,1604199615
Beyneu,45.32,55.2,45.79,55,99,13.04,KZ,1604199777
Kizner,56.27,51.51,34.47,90,76,8.21,RU,1604199817
Petropavlovka,50.61,105.32,25.48,73,8,16.13,RU,1604199817
Khovd,48.01,91.64,31.62,82,0,1.74,MN,1604199818
Laas,46.62,10.7,42.8,70,40,6.93,IT,1604199818
Bac Lieu,9.29,105.72,85.3,70,90,5.19,VN,1604199818
Wakkanai,45.41,141.67,51.8,93,75,9.17,JP,1604199754
Macusani,-14.08,-70.43,39.0,84,100,2.57,PE,1604199818
Caravelas,-17.71,-39.25,72.09,94,100,6.31,BR,1604199818
Usinsk,65.99,57.53,32.43,95,100,17.52,RU,1604199818
La Santisima Trinidad,-14.83,-64.9,72.0,50,25,1.5,BO,1604199819
San Miguel de Tucumán,-26.82,-65.22,64.4,42,0,6.93,AR,1604199662
Karasjok,69.47,25.51,24.8,79,100,17.22,NO,1604199819
Manadhoo,5.77,73.38,82.36,67,0,3.06,MV,1604199819
Kumul,42.8,93.45,45.59,49,0,8.66,CN,1604199819
Kunnamangalam,11.3,75.88,77.0,94,20,2.24,IN,1604199819
Bud,39.45,-86.18,51.01,66,1,6.93,US,1604199755
Porto Seguro,-16.45,-39.06,77.0,83,0,6.93,BR,1604199820
Kyra,49.58,111.98,22.51,74,18,18.23,RU,1604199820
Portland,45.52,-122.68,54.0,76,38,1.01,US,1604199583
Hof,50.32,11.92,48.0,96,97,5.01,DE,1604199820
Eyl,7.98,49.82,77.85,77,2,7.36,SO,1604199729
Ketchikan,55.34,-131.65,48.2,100,90,18.34,US,1604199820
Juneau,58.3,-134.42,46.4,87,90,12.75,US,1604199608
Charters Towers,-20.1,146.27,92.95,19,0,2.8,AU,1604199821
Hofn,64.25,-15.21,42.75,64,100,16.37,IS,1604199755
Poum,-20.23,164.02,78.66,76,6,16.93,NC,1604199821
Ürümqi,43.8,87.6,42.8,45,0,4.47,CN,1604199821
Hong Kong,22.29,114.16,77.0,67,4,1.01,HK,1604199733
Reading,51.46,-0.97,53.01,81,100,13.87,GB,1604199706
Asău,46.43,26.4,46.4,81,90,16.11,RO,1604199821
Tahe,52.33,124.73,24.53,96,100,11.14,CN,1604199822
Sarangani,5.4,125.46,84.34,76,100,15.01,PH,1604199822
Goderich,43.75,-81.72,41.0,72,11,11.41,CA,1604199604
Quelimane,-17.88,36.89,71.6,94,20,3.36,MZ,1604199822
Tanete,-3.94,119.78,92.82,48,93,3.78,ID,1604199822
Ngunguru,-35.62,174.5,79.0,54,42,7.0,NZ,1604199822
Rūdbār,30.15,62.6,53.4,32,0,2.57,AF,1604199665
Sokol,59.46,40.12,28.76,97,0,4.32,RU,1604199823
Dalvik,65.97,-18.53,37.4,86,90,3.36,IS,1604199823
Doha,25.29,51.53,77.0,65,0,3.36,QA,1604199684
Izhmorskiy,56.19,86.64,33.76,92,100,14.7,RU,1604199823
Namtsy,62.72,129.67,-11.2,83,40,2.15,RU,1604199824
Tiarei,-17.53,-149.33,82.4,61,75,5.82,PF,1604199824
Palana,59.12,159.97,35.11,83,100,4.47,RU,1604199824
Ormara,25.21,64.64,75.63,24,0,8.97,PK,1604199824
Robertsport,6.75,-11.37,78.93,84,0,6.24,LR,1604199824
Bremerton,47.57,-122.63,50.0,70,1,12.75,US,1604199739
Erenhot,43.65,111.98,33.31,71,81,8.23,CN,1604199824
Oudtshoorn,-33.59,22.2,51.8,93,0,3.36,ZA,1604199825
Zhob,31.34,69.45,56.88,27,0,3.87,PK,1604199825
Stranda,62.31,6.94,59.0,58,82,19.46,NO,1604199825
Santa Barbara,34.73,-120.03,64.99,39,1,5.82,US,1604199601
Tual,-5.67,132.75,83.61,76,85,13.35,ID,1604199825
Lastoursville,-0.81,12.73,71.73,95,100,2.3,GA,1604199825
Wigtown,54.87,-4.44,49.15,87,98,24.94,GB,1604199826
Omboué,-1.57,9.26,76.01,91,97,5.19,GA,1604199826
Camacha,33.08,-16.33,68.0,88,20,9.17,PT,1604199826
Aksarka,66.56,67.8,28.78,96,29,10.56,RU,1604199826
Deputatsky,69.3,139.9,-9.26,91,89,5.35,RU,1604199766
Boda,4.32,17.47,68.52,86,71,0.87,CF,1604199826
Sibolga,1.74,98.78,81.37,74,100,1.14,ID,1604199826
Nuuk,64.18,-51.72,23.0,85,100,10.29,GL,1604199827
Dhandhuka,22.37,71.98,78.53,25,0,7.99,IN,1604199827
Béjar,40.39,-5.76,54.0,72,100,1.28,ES,1604199686
Songjianghe,42.19,127.48,45.43,56,0,11.79,CN,1604199827
Saktī,22.03,82.97,76.53,61,0,3.47,IN,1604199827
Kuril'sk,45.23,147.88,51.46,69,97,7.34,RU,1604199827
Moyo,3.66,31.72,65.1,100,3,1.12,UG,1604199827
Buin,-33.73,-70.75,64.99,72,0,11.41,CL,1604199828
Hobyo,5.35,48.53,79.83,77,52,1.79,SO,1604199828
Kikwit,-5.04,18.82,69.73,96,63,1.88,CD,1604199828
Laureles,26.11,-97.49,71.01,82,1,6.93,US,1604199829
Nsanje,-16.92,35.26,69.3,94,16,4.07,MW,1604199829
Necochea,-38.55,-58.74,50.0,81,0,5.01,AR,1604199829
Cuamba,-14.8,36.54,68.16,78,31,1.79,MZ,1604199829
Kaabong,3.48,34.15,63.5,83,2,10.51,UG,1604199829
Binzhou,37.37,118.02,64.99,67,68,8.72,CN,1604199752
Nizhniy Baskunchak,48.22,46.83,47.14,53,98,4.38,RU,1604199829
Raahe,64.68,24.48,36.0,100,90,9.17,FI,1604199545
Port Lincoln,-34.73,135.87,62.98,69,3,13.89,AU,1604199532
Kintampo,8.06,-1.73,73.76,74,0,2.89,GH,1604199830
West Wendover,40.74,-114.07,46.4,42,1,6.93,US,1604199830
Rapid Valley,44.06,-103.15,41.0,51,1,14.99,US,1604199830
Lázaro Cárdenas,17.96,-102.2,79.0,82,15,2.86,MX,1604199830
Corrente,-3.74,-43.34,75.36,90,32,2.82,BR,1604199830
Teya,60.38,92.63,21.06,94,100,7.76,RU,1604199831
Tekirdağ,40.98,27.51,46.4,75,75,13.87,TR,1604199721
Vao,-22.67,167.48,74.34,82,0,15.7,NC,1604199831
Ossora,59.24,163.07,37.38,82,100,8.75,RU,1604199787
Yeniseysk,58.45,92.17,22.6,97,100,8.41,RU,1604199831
Kharan,28.58,65.42,57.38,27,0,3.36,PK,1604199831
Kostanay,53.17,63.58,33.8,80,0,11.18,KZ,1604199831
Jurm,36.86,70.83,48.18,31,7,4.5,AF,1604199832
Manzanillo,20.34,-77.12,78.06,87,77,11.16,CU,1604199832
Coari,-4.08,-63.14,71.08,95,95,3.96,BR,1604199685
Sur,22.57,59.53,72.91,48,0,1.57,OM,1604199771
Katsuura,35.13,140.3,66.0,63,75,5.82,JP,1604199832
Montepuez,-13.13,39.0,66.6,93,0,2.64,MZ,1604199832
Marsaxlokk,35.84,14.54,64.0,93,20,6.93,MT,1604199832
Conde,-7.26,-34.91,78.8,83,20,5.82,BR,1604199739
Bernalillo,35.05,-106.67,55.99,49,1,5.82,US,1604199744
Rock Sound,24.9,-76.2,81.64,80,15,19.73,BS,1604199833
Seymchan,62.88,152.43,15.48,93,100,5.82,RU,1604199833
Bugiri,0.57,33.74,63.25,90,26,2.01,UG,1604199833
Ous,60.91,61.52,27.86,95,0,8.37,RU,1604199833
San Fernando del Valle de Catamarca,-28.47,-65.79,50.0,63,5,12.01,AR,1604199833
Arrondissement de Mende,44.67,3.5,43.81,70,88,0.72,FR,1604199806
Kostomuksha,64.57,30.58,34.57,92,99,10.2,RU,1604199834
Shīeli,44.17,66.75,42.85,58,0,3.62,KZ,1604199834
Huarmey,-10.07,-78.15,62.19,85,100,5.41,PE,1604199834
Millinocket,45.66,-68.71,26.6,58,1,5.1,US,1604199772
Dunedin,-45.87,170.5,57.99,69,96,14.0,NZ,1604199788
Srednekolymsk,67.45,153.68,7.07,94,100,4.92,RU,1604199834
Kabwe,-14.45,28.45,64.99,60,0,8.21,ZM,1604199834
La Ronge,55.1,-105.28,21.2,85,0,4.7,CA,1604199835
Catuday,16.29,119.81,80.73,75,97,15.57,PH,1604199835
Mpongwe,-13.51,28.16,62.78,63,0,6.06,ZM,1604199835
Enniscorthy,52.5,-6.56,54.0,92,100,17.0,IE,1604199835
Gerede,40.8,32.2,40.55,83,64,4.61,TR,1604199835
Tangwani,28.28,69.0,64.4,82,0,4.85,PK,1604199835
Brigantine,39.41,-74.36,48.0,86,1,6.71,US,1604199836
Joshīmath,30.57,79.57,60.3,27,0,0.56,IN,1604199836
Annau,37.89,58.52,50.0,28,0,4.7,TM,1604199836
Yegorlykskaya,46.57,40.66,49.98,97,30,2.91,RU,1604199836
Vestmanna,62.16,-7.17,44.6,87,99,27.51,FO,1604199836
Aden,12.78,45.04,81.14,68,0,18.16,YE,1604199550
Werneck,49.98,10.1,48.99,96,100,6.98,DE,1604199837
Kushiro,42.98,144.37,48.2,87,75,9.17,JP,1604199837
Apollonia,36.97,24.72,63.0,59,0,12.82,GR,1604199837
Haringhāta,22.95,88.57,80.6,88,40,4.7,IN,1604199837
Port Blair,11.67,92.75,84.2,83,20,7.85,IN,1604199625
Najrān,17.49,44.13,59.0,38,0,0.98,SA,1604199775
Loudi,27.73,111.99,60.76,90,100,3.58,CN,1604199838
Yulara,-25.24,130.99,89.6,12,0,10.29,AU,1604199838
Aldan,58.6,125.39,-2.49,92,100,4.36,RU,1604199838
Arman',59.7,150.17,33.49,95,100,4.21,RU,1604199838
Benito Juarez,19.39,-99.17,68.0,52,75,9.17,MX,1604199826
Lithgow,-33.48,150.15,52.0,93,99,1.01,AU,1604199839
Ashquelon,31.67,34.57,72.0,100,98,5.48,IL,1604199839
Angoche,-16.23,39.91,74.93,78,84,1.7,MZ,1604199727
Ambilobe,-13.2,49.05,68.86,66,13,4.0,MG,1604199762
Meulaboh,4.14,96.13,84.65,65,100,0.98,ID,1604199839
Hirara,24.8,125.28,75.2,78,75,13.87,JP,1604199839
Shache,38.42,77.24,45.79,51,0,1.9,CN,1604199839
Varca,15.22,73.92,80.6,88,40,3.36,IN,1604199839
Yuci,37.68,112.73,51.8,32,85,4.47,CN,1604199840
Rudnogorsk,57.26,103.75,15.04,88,5,2.37,RU,1604199840
Ambulu,-8.35,113.61,86.07,59,17,4.43,ID,1604199840
Luís Correia,-2.88,-41.67,78.1,88,47,11.21,BR,1604199840
Cabatuan,10.88,122.49,82.08,80,100,10.94,PH,1604199841
Ponta Delgada,37.73,-25.67,68.0,100,75,16.11,PT,1604199841
Zaraza,9.35,-65.32,74.26,96,98,3.98,VE,1604199841
Kungur,57.44,56.96,34.54,88,100,11.5,RU,1604199841
At-Bashi,41.17,75.81,32.83,56,0,2.53,KG,1604199841
Lata,40.16,-8.33,63.0,95,100,1.52,PT,1604199842
Hedaru,-4.5,37.9,67.46,88,78,2.68,TZ,1604199842
Cap Malheureux,-19.98,57.61,71.01,65,21,1.99,MU,1604199842
Bundaberg,-24.85,152.35,89.6,25,1,8.05,AU,1604199842
Lukulu,-14.37,23.24,67.75,37,47,5.99,ZM,1604199842
Almora,29.62,79.67,62.6,82,5,2.19,IN,1604199843
Dekar,-21.53,21.93,72.1,33,93,8.34,BW,1604199843
Cauquenes,-35.97,-72.32,56.86,55,0,2.33,CL,1604199843
Buala,-8.14,159.59,85.71,68,36,1.72,SB,1604199778
Rovnoye,50.78,46.05,45.72,61,100,6.87,RU,1604199843
Yeppoon,-23.13,150.73,89.6,43,40,3.36,AU,1604199843
Waingapu,-9.66,120.26,87.6,55,90,8.16,ID,1604199770
Mahāban,27.43,77.75,55.4,87,5,1.12,IN,1604199844
Hudson Bay,52.85,-102.38,16.68,96,1,4.52,CA,1604199844
Khipro,25.83,69.38,79.21,17,0,5.84,PK,1604199844
Niamtougou,9.77,1.11,71.85,53,31,0.38,TG,1604199844
Ahipara,-35.17,173.17,70.12,62,1,3.85,NZ,1604199844
Son La,21.32,103.9,72.82,77,80,1.61,VN,1604199567
Yumen,40.28,97.2,45.52,47,100,18.63,CN,1604199844
Venustiano Carranza,19.43,-99.1,68.0,52,75,9.17,MX,1604199684
Strelka,58.07,93.03,22.05,96,100,7.7,RU,1604199845
Kysyl-Syr,63.9,122.76,1.11,91,92,4.36,RU,1604199845
Birin,26.89,88.07,73.4,83,40,2.24,NP,1604199845
Gallup,35.53,-108.74,50.0,42,1,4.34,US,1604199845
Zaysan,47.47,84.87,35.38,78,0,1.05,KZ,1604199845
Praia,14.92,-23.51,75.2,78,0,17.22,CV,1604199603
Lyubim,58.36,40.68,30.24,97,1,4.63,RU,1604199846
Paka,4.64,103.44,84.2,79,20,2.24,MY,1604199846
Lagoa,39.05,-27.98,68.63,93,74,29.15,PT,1604199846
Constantine,36.37,6.61,48.2,81,0,0.58,DZ,1604199846
Thunder Bay,48.4,-89.32,39.2,60,90,17.22,CA,1604199596
Kenai,60.55,-151.26,28.0,45,1,5.82,US,1604199847
Inta,66.03,60.17,32.11,98,100,16.62,RU,1604199847
Bherāmāra,24.02,88.99,82.51,73,10,3.67,BD,1604199847
Balikpapan,-1.27,116.83,84.2,74,20,5.82,ID,1604199847
Garhwa,24.18,83.82,75.51,56,0,4.9,IN,1604199847
Skibbereen,51.55,-9.27,53.6,100,90,28.86,IE,1604199847
Nakskov,54.84,11.13,54.0,96,100,17.98,DK,1604199847
